car_id,price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
2G9QlB0tGroxxN00N9Lrp7y2,6152000,Petrol,Automatic,Toyota,RAV4,2009,Silver,Foreign Used,118256.0,2500.0,Imported,Imported,SUV,,,,,,
43cFG7We0fA57MNbmR7mfTqD,4160000,Petrol,Automatic,Acura,MDX,2008,Black,Nigerian Used,83701.0,3500.0,Registered,Imported,SUV,,,,,,LAGOS
7v2JDzdul3aS0gN2Jm3tXQVg,9000000,Petrol,Automatic,Land Rover,Range Rover,2012,Brown,Foreign Used,115.0,4900.0,Imported,Imported,SUV,,,,,,
pPg3iP6nL8IqA3juwxNRLw8m,3640000,Petrol,Automatic,Lexus,ES,2007,Red,Nigerian Used,181974.0,3500.0,Registered,Imported,,,,,,,LAGOS
3cxLmpOn5EMfwg6J9gVRNO8I,4680000,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Black,Nigerian Used,235866.0,4700.0,Registered,Registered,SUV,GL 450,All Wheel,7.0,8.0,335.0,
eYTiWAkCNzu5iEk6tsQKLuEq,8112000,Petrol,Automatic,Toyota,Highlander,2008,Blue,Foreign Used,107641.0,3500.0,Imported,Imported,SUV,,,,,,
ppa7P4CfogFeD9KaU5urQ7Y3,4160000,Petrol,Automatic,Mercedes-Benz,M Class,2007,Gold,Nigerian Used,126048.0,3500.0,Registered,Imported,SUV,ML 350 4Matic,All Wheel,5.0,6.0,268.0,LAGOS
ksLDaKfvCRNRm5nPxMJWxU0N,6240000,Petrol,Automatic,Toyota,Highlander,2008,Gray,Nigerian Used,143583.0,3500.0,Registered,Imported,SUV,,,,,,
wtFHr0JNVp2vJpOGzDwHsf8B,10080000,Petrol,Automatic,Lexus,ES,2014,Black,Foreign Used,172741.0,3500.0,Imported,Imported,Sedan,350 FWD,Front Wheel,5.0,6.0,268.0,
BegKS07Z3ArvKRRgm8duwLG5,3952000,Petrol,Automatic,Toyota,Camry,2011,Gray,Nigerian Used,149124.0,3500.0,Registered,Imported,Sedan,XLE V6 4dr Sedan (3.5L 6cyl 6A),Front,5.0,6.0,268.0,FCT
ugK1yB7sA7sWIPiPVcVpQv5i,4680000,Petrol,Automatic,Toyota,Camry,2011,Black,Foreign Used,237328.0,2400.0,Imported,Imported,,,,,,,
7PJ6niJkTiX41ci5DiRtjg8o,8320000,Petrol,Automatic,Toyota,Venza,2012,Brown,Nigerian Used,2255693.0,3500.0,Registered,Imported,Crossover,AWD,All Wheel,5.0,4.0,185.0,LAGOS
z767UvewhbJyKCtrjt967Oal,3675000,Petrol,Automatic,Toyota,Highlander,2004,Gray,Foreign Used,210314.0,3300.0,Imported,Imported,,,,,,,
nHsnrrZk5Eliyh2golUcyohA,6760000,Petrol,Automatic,Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,115647.0,4000.0,Registered,Imported,SUV,,,,,,
ugK1yB7sA7sWIPiPVcVpQv5i,4680000,Petrol,Automatic,Toyota,Camry,2011,Black,Foreign Used,237328.0,2400.0,Imported,Imported,,,,,,,
hI2ES3wPs918udEVtrFGu6WX,9048000,Petrol,Automatic,Toyota,Venza,2012,Silver,Foreign Used,125117.0,2700.0,Imported,Imported,SUV,,,,,,
tVHSjZFTxAeN50YuArP5bFrP,14560000,Petrol,Automatic,Mercedes-Benz,M Class,2014,Blue,Foreign Used,268495.0,4600.0,Imported,Imported,SUV,,,,,,
piw7bvybihdxZfNXXZ0LXHWY,4725000,Petrol,Automatic,Lexus,ES,2007,Gold,Foreign Used,163143.0,3500.0,Imported,Imported,,,,,,,
xEWXjuHf6yN6uIrnLxlYz3EB,4200000,Petrol,Automatic,Renault,Duster,2010,Black,Nigerian Used,48294.0,1600.0,Registered,Registered,SUV,1.6,Front Wheel,5.0,4.0,105.0,Lagos
jTRxABUFh3ibsfGllCY7lKg7,5000000,Petrol,Automatic,Toyota,Highlander,2008,Black,Nigerian Used,117980.0,3500.0,Registered,Registered,SUV,,,,,,
1K63Licze875g8i1fj53b6Gu,6300000,Petrol,Manual,Toyota,Hilux,2012,White,Nigerian Used,189367.0,2700.0,Registered,Registered,,,,,,,
ko7Lp6xiJhHn8AzGmfwqFoNY,13650000,Petrol,Automatic,Mercedes-Benz,Viano,2012,Black,Nigerian Used,45933.0,3500.0,Registered,Brand new,Van,,,,,,LAGOS
mzWjzZkS0MiOOeITysEnCRMr,7140000,Petrol,Automatic,Hyundai,Creta,2016,Gray,Nigerian Used,102874.0,1600.0,Registered,Registered,SUV,,,,,,
pgoWs5MSx2zEC8a7ERkQrZ6H,9360000,Petrol,Automatic,Mercedes-Benz,M Class,2011,Gray,Foreign Used,90047.0,3500.0,Imported,Imported,SUV,,,,,,
9Pjv65FtvaRp4cZlMeDzXiIq,6300000,Petrol,Automatic,Toyota,Venza,2013,Brown,Nigerian Used,221615.0,2700.0,Registered,Imported,SUV,,,,,,ABUJA
eYiu6zN0FcHoQgTuTYKxJ7pz,8840000,Petrol,Automatic,Toyota,Tacoma,2008,Black,Foreign Used,89611.0,4000.0,Imported,Imported,,,,,,,
3cxLmpOn5EMfwg6J9gVRNO8I,4680000,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Black,Nigerian Used,235866.0,4700.0,Registered,Registered,SUV,GL 450,All Wheel,7.0,8.0,335.0,
65SP6utZ2P94pvJeHLtXN0XL,6760000,Petrol,Automatic,Lexus,GX,2008,Blue,Nigerian Used,59214.0,4500.0,Registered,Imported,SUV,,,,,,LAGOS
mNK2ZFrGbPcZIihL8mP9dtY2,11550000,Petrol,Automatic,Mercedes-Benz,M Class,2012,White,Foreign Used,340042.0,3500.0,Imported,Imported,SUV,,,,,,
yDhw8IkWdRHIpEpQngu4McrN,12075000,Petrol,Automatic,Mercedes-Benz,GLK-Class,2015,Silver,Foreign Used,156587.0,3500.0,Imported,Imported,SUV,,,,,,
BegKS07Z3ArvKRRgm8duwLG5,3952000,Petrol,Automatic,Toyota,Camry,2011,Gray,Nigerian Used,149124.0,3500.0,Registered,Imported,Sedan,XLE V6 4dr Sedan (3.5L 6cyl 6A),Front,5.0,6.0,268.0,FCT
nHsnrrZk5Eliyh2golUcyohA,6760000,Petrol,Automatic,Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,115647.0,4000.0,Registered,Imported,SUV,,,,,,
2AJzBPOEsQ8o22rOOvNZiXVp,3952000,Petrol,Automatic,Lexus,ES,2008,Black,Nigerian Used,91444.0,3500.0,Registered,Registered,,,,,,,LAGOS
uJP6DFml83zB3qnkPYQUZhqv,5250000,Petrol,Manual,Hyundai,H1,2016,White,Nigerian Used,76961.0,2400.0,Registered,Registered,Bus,,,,,,
BQravjVa56zVoEBHtSUv4GKA,4410000,Petrol,Automatic,Lexus,GX,2003,Gold,Nigerian Used,177852.0,4700.0,Registered,Imported,SUV,,,,,,Lagos
upHOK6vduiV7DL6W2SfLl4VX,3937500,Petrol,Automatic,Hyundai,Santa Fe,2013,Silver,Nigerian Used,81128.0,2000.0,Registered,Registered,SUV,Sport 2.0T,Front Wheel,5.0,4.0,264.0,RIVERS
eYTiWAkCNzu5iEk6tsQKLuEq,8112000,Petrol,Automatic,Toyota,Highlander,2008,Blue,Foreign Used,107641.0,3500.0,Imported,Imported,SUV,,,,,,
rpZ4UW0MA4aFjwtYvTtsG9Lo,7350000,Petrol,Automatic,Land Rover,Range Rover Evoque,2013,Black,Nigerian Used,147386.0,2400.0,Registered,Registered,,Pure Plus AWD,,,,,Lagos
dlBpnCA04YRPWbxo4ZAMq5K7,14768000,Petrol,Automatic,Lexus,IS,2015,Black,Foreign Used,117114.0,2500.0,Imported,Imported,,,,,,,
tuEV1WqT71zGzCTeZlcYswtX,15600000,Petrol,Automatic,Toyota,Highlander,2015,Blue,Foreign Used,126210.0,3500.0,Imported,Imported,SUV,,,,,,
avbknhyBB16sXSnCfGUzctu7,3744000,Petrol,Automatic,Acura,MDX,2008,Gray,Nigerian Used,378349.0,3700.0,Registered,Imported,SUV,,,,,,LAGOS
5czUputP1RHEgLGuCjntdtBQ,8984000,Petrol,Manual,Toyota,Hilux,2014,White,Nigerian Used,82115.0,2700.0,Registered,Registered,Truck,,,,,,Lagos
dUeaG32wNmtZLbcwJDlD3bO5,14700000,Petrol,Automatic,Hyundai,Santa Fe,2018,Gray,Nigerian Used,4756.0,2400.0,Registered,Brand new,SUV,,,,,,LAGOS
mttGfeZwn5juHJYMfrjdGwuI,17850000,Petrol,Automatic,Lexus,RC,2017,White,Nigerian Used,27287.0,3500.0,Registered,Imported,Coupe,,,,,,Lagos
ozVksvJmkRvPq6osdoJdA14r,4725000,Petrol,Automatic,Toyota,Highlander,2008,Black,Nigerian Used,119009.0,3500.0,Registered,Imported,SUV,,,,,,
9RUsrWhb7WZLIJxEKRfdcj8a,4160000,Petrol,Automatic,Lexus,ES,2007,Beige,Nigerian Used,161551.0,3500.0,Registered,Imported,,,,,,,LAGOS
tCg0t1rCXJk2UxAQNWTcquDh,6825000,Petrol,Automatic,Hyundai,Sonata,2018,Gray,Nigerian Used,56452.0,2000.0,Registered,Brand new,Sedan,Limited 2.0T,Front Wheel,5.0,4.0,110.0,LAGOS
429yLPyXKtyoYuc2qNc9hzuE,19760000,Petrol,Automatic,Lexus,GX,2015,Black,Nigerian Used,55940.0,4600.0,Registered,Imported,SUV,460 Base,4x4,7.0,8.0,301.0,LAGOS
zrgbB9RBEkxEKaQsRVaufQ1a,3675000,Petrol,Automatic,Mercedes-Benz,C300,2008,Silver,Foreign Used,,3500.0,Imported,Imported,,,,,,,
yJAcVMCoaAw7XTerWZLFOZv8,10400000,Petrol,Automatic,Toyota,Sequoia,2008,Black,Nigerian Used,198169.0,5700.0,Registered,Imported,SUV,,,,,,
jEjN11cLFB3x1AF2bHOspua5,3640000,Petrol,Automatic,Toyota,Highlander,2006,Silver,Nigerian Used,111574.0,2400.0,Registered,Imported,SUV,,,,,,
nkv65GdhFKNF0TS0YaLyp1Bj,8320000,Petrol,Automatic,Toyota,Highlander,2010,Black,Nigerian Used,191252.0,3500.0,Registered,Registered,SUV,,,,,,
cTY26sDgZ5yCpoTEOYM3MCiy,4680000,Petrol,Automatic,Toyota,Camry,2012,Gray,Nigerian Used,120486.0,2500.0,Registered,Registered,,,,,,,
3Nnj5HD5D4BMQhpBumE7fllL,15600000,Petrol,Automatic,Toyota,Land Cruiser Prado,2011,Black,Nigerian Used,113154.0,2700.0,Registered,Registered,SUV,2.7 i,All Wheel,5.0,4.0,163.0,Lagos
fFBawkVI9D6AKOntab7kMsd2,4680000,Petrol,Automatic,Toyota,Camry,2012,Black,Nigerian Used,184118.0,2500.0,Registered,Imported,,,,,,,
hMUliKh33TLl1PrIYBMF3lgP,3675000,Petrol,Automatic,Toyota,RAV4,2011,Black,Nigerian Used,121804.0,2400.0,Registered,Registered,SUV,2.5,Front Wheel,5.0,4.0,,LAGOS
rnUqnpT426nv2Qoqh9WqmnlP,4620000,Petrol,Automatic,Mercedes-Benz,C-Class,2012,Black,Nigerian Used,119275.0,,Registered,Registered,,,,,,,LAGOS
Cpk1o3z9IGeThrWb6z8T1j9V,4680000,Petrol,Automatic,Toyota,Camry,2012,Black,Nigerian Used,23563.0,2500.0,Registered,Imported,Sedan,LE 4dr Sedan (2.5L 4cyl 6A),Front,5.0,4.0,178.0,LAGOS
fkAp7N7u6HFM52Vts1hqDIy8,7350000,Petrol,Automatic,Toyota,Venza,2009,Gray,Foreign Used,86051.0,3500.0,Imported,Imported,SUV,,,,,,
oOj4InoeDL0SvLMjdTSOvL6T,4680000,Petrol,Automatic,Toyota,Camry,2007,Gray,Foreign Used,105430.0,2400.0,Imported,Imported,,,,,,,
5hw06fzT8j7BUrq4AXTeFc41,6050000,Petrol,Automatic,Toyota,Sienna,2012,Gray,Foreign Used,59425.0,3500.0,Imported,Imported,SUV,,,,,,
5B55rWY4OQkKslv4EIitkcMH,27040000,Petrol,Automatic,Toyota,Tundra,2018,Silver,Foreign Used,72709.0,57000.0,Imported,Imported,Truck,,,,,,
rw3VHxa7AyLt1x7iYZ7nZlXh,5355000,Petrol,Automatic,Toyota,Venza,2009,Gold,Nigerian Used,77282.0,2700.0,Registered,Registered,SUV,,,,,,LAGOS
hzYSEiCQb0AZ11SofvgMTbdP,5250000,Petrol,Automatic,Toyota,Camry,2012,Gray,Foreign Used,308314.0,2500.0,Imported,Imported,Sedan,LE 4dr Sedan (2.5L 4cyl 6A),Front,5.0,4.0,178.0,
zdIt2DF41eAFHcHs71q1wqY1,5670000,Hybrid,Automatic,Lexus,RX 400h,2006,Silver,Nigerian Used,110410.0,3500.0,Registered,Imported,SUV,,,,,,Abuja
nfsRC8HdkQNo1JhS33FROWRG,5720000,Petrol,Automatic,Toyota,Corolla,2014,Gray,Nigerian Used,120525.0,1800.0,Registered,Registered,Sedan,L 4dr Sedan (1.8L 4cyl 4A),Front,,4.0,132.0,Lagos
cJiTHLTNPyOUPAuOdHsdrdt8,26000000,Petrol,Automatic,Toyota,Avalon,2007,White,Nigerian Used,148988.0,3500.0,Registered,Imported,,,,,,,Lagos
uQ8pMdcjvTwZ2Jxkn5gRorCb,3360000,Petrol,Automatic,Saturn,Vue,2008,Blue,Nigerian Used,275713.0,3600.0,Registered,Registered,SUV,,,,,,LAGOS
jVuoGwGK5ZlHOFaRQq8F1Gxd,13650000,Petrol,Automatic,Mercedes-Benz,GLA 250,2015,Red,Foreign Used,47864.0,2000.0,Imported,Imported,Hatchback,,,,,,
box9ZCTWi9lT9ZbeN8Bptwao,5460000,Hybrid,Automatic,Toyota,Camry,2015,Black,Foreign Used,144806.0,2500.0,Imported,Imported,,,,,,,
C67vZijNDszqEw4JqhcjADHE,13650000,Petrol,Automatic,Mercedes-Benz,M Class,2013,Black,Foreign Used,146218.0,3500.0,Imported,Imported,SUV,,,,,,
2fnKasPMLtLAp3D9zilBJ2H,6136000,Petrol,Automatic,Toyota,Highlander,2009,Gray,Nigerian Used,108067.0,3500.0,Registered,Registered,SUV,,,,,,
rH7rM6Cg2ckp306yhboAL8Cl,6240000,Petrol,Automatic,Lexus,GX,2005,Black,Nigerian Used,145875.0,4700.0,Registered,Registered,,,,,,,Lagos
eSngNA9jVSZUDac3DHDEV0lK,8320000,Petrol,Automatic,Toyota,Highlander,2012,White,Nigerian Used,76040.0,3500.0,Registered,Registered,SUV,,,,,,Lagos
b6Q3dlHiTp6O12kSvXO48ZBH,14175000,Petrol,Automatic,Toyota,Highlander,2015,Burgandy,Foreign Used,165406.0,3500.0,Imported,Imported,SUV,,,,,,
aGaXozFAEoJY2qEyEMgO52qJ,3952000,Petrol,Automatic,Mercedes-Benz,C350,2009,Blue,Nigerian Used,90404.0,3500.0,Registered,Registered,,,,,,,
kVvegPleoV90wGhe4125Wrzj,9975000,Petrol,Automatic,Ford,Explorer,2009,Brown,Nigerian Used,128563.0,4000.0,Registered,Registered,SUV,,,,,,LAGOS
k0V11V06zGtmB0fSvZdp2BId,3255000,Petrol,Automatic,Toyota,RAV4,2009,Red,Nigerian Used,105970.0,2500.0,Registered,Registered,SUV,,,,,,LAGOS
Ct1shsrUHzZpONPukm2d4ffm,6032000,Petrol,Automatic,Toyota,RAV4,2007,White,Foreign Used,92686.0,3500.0,Imported,Imported,,,,,,,
k16qfI3QfdEZznDNxzKHttmR,4515000,Petrol,Automatic,Toyota,Camry,2012,Black,Nigerian Used,131825.0,2500.0,Registered,Registered,,,,,,,LAGOS
873pEAKyJhliRPUbYlVQDI8y,4680000,Petrol,Automatic,Toyota,RAV4,2007,Silver,Nigerian Used,182271.0,3500.0,Registered,Registered,SUV,,,,,,Lagos
7nMtTjoxvhhHYRslwC7U6egd,5720000,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Silver,Nigerian Used,81016.0,4700.0,Registered,Registered,SUV,GL 450,All Wheel,7.0,8.0,335.0,
eVc48VtUh2NqDlSxxRcEWHHb,9450000,Petrol,Automatic,Toyota,HiAce,2007,Silver,Foreign Used,80513.0,2800.0,Imported,Imported,Bus,,,,,,
8agmUuKG9XdWgMvdBgmffOVt,16640000,Petrol,Automatic,Mercedes-Benz,M Class,2014,Black,Nigerian Used,,3500.0,Registered,Imported,SUV,,,,,,LAGOS
hYXqZcXmSB95gplCqF5WbIVB,6090000,Petrol,Automatic,Toyota,Camry,2015,Black,Nigerian Used,53724.0,2500.0,Registered,Registered,,,,,,,ABUJA
kZsUzfpT5WIWrevJJSIu6s9E,5200000,Petrol,Automatic,Toyota,Corolla,2010,Red,Foreign Used,360532.0,1800.0,Imported,Imported,,,,,,,
surXsyICnZuqVPRmgSKoEXNh,6300000,Petrol,Automatic,Lexus,ES,2011,Blue,Foreign Used,148859.0,3500.0,Imported,Imported,Sedan,350,Front,5.0,6.0,,
s4d8VC44VpXroXYz4lKXtpLn,7350000,Petrol,CVT,Toyota,Corolla,2015,Silver,Nigerian Used,67407.0,1800.0,Registered,Imported,Sedan,LE 4dr Sedan (1.8L 4cyl CVT),Front,,4.0,132.0,EDO
5QriUBKJEgF7Z9r7NOCJMoX0,6090000,Petrol,Automatic,Lexus,ES,2011,Silver,Foreign Used,106891.0,3500.0,Imported,Imported,,,,,,,
hYcok8tYaIvLVtQ2xWwvA1LM,4784000,Petrol,Automatic,Toyota,Camry,2011,Silver,Foreign Used,230512.0,2500.0,Imported,Imported,Sedan,LE 4dr Sedan (2.5L 4cyl 6A),Front,5.0,4.0,169.0,
fkAp7N7u6HFM52Vts1hqDIy8,7350000,Petrol,Automatic,Toyota,Venza,2009,Gray,Foreign Used,86051.0,3500.0,Imported,Imported,SUV,,,,,,
pbzj4eIAwwsh59Bhio5CX95G,4160000,Petrol,Automatic,Lexus,ES,2005,Gold,Foreign Used,158940.0,3300.0,Imported,Imported,Sedan,330,Front,5.0,6.0,,
hFUdLGWQLk4YLE2Cu3JR8hVs,6968000,Petrol,Automatic,Mercedes-Benz,GLK-Class,2010,Blue,Nigerian Used,256449.0,3500.0,Registered,Imported,SUV,,,,,,LAGOS
rnUqnpT426nv2Qoqh9WqmnlP,4620000,Petrol,Automatic,Mercedes-Benz,C-Class,2012,Black,Nigerian Used,119275.0,,Registered,Registered,,,,,,,LAGOS
xDCsmT4WqG9gO2Z1yStnBbiU,7800000,Petrol,Automatic,Toyota,Camry,2012,White,Foreign Used,138794.0,2500.0,Imported,Imported,Sedan,XLE 4dr Sedan (2.5L 4cyl 6A),Front,5.0,4.0,178.0,
cJiTHLTNPyOUPAuOdHsdrdt8,26000000,Petrol,Automatic,Toyota,Avalon,2007,White,Nigerian Used,148988.0,3500.0,Registered,Imported,,,,,,,Lagos
BTqNRVncbOrgbnNp4cZIxW8g,5304000,Petrol,Automatic,Toyota,Camry,2013,Gray,Nigerian Used,178358.0,2500.0,Registered,Registered,Sedan,LE 4dr Sedan (2.5L 4cyl 6A),Front,5.0,4.0,178.0,
A5XxsbVlrLSz043wfe5QVO1q,3990000,Petrol,Automatic,Toyota,Sienna,2006,Gray,Foreign Used,140689.0,3300.0,Imported,Imported,SUV,,,,,,
hMUliKh33TLl1PrIYBMF3lgP,3675000,Petrol,Automatic,Toyota,RAV4,2011,Black,Nigerian Used,121804.0,2400.0,Registered,Registered,SUV,2.5,Front Wheel,5.0,4.0,,LAGOS
65dOwu6ssrc50KbAeIq0KlcM,9030000,Petrol,Automatic,Mercedes-Benz,M Class,2012,Silver,Nigerian Used,152145.0,3500.0,Registered,Imported,SUV,ML 350 4Matic,All Wheel,5.0,6.0,302.0,LAGOS
wp8sfYyka7vKJSQHYuPB5gvM,4680000,Petrol,Automatic,Toyota,Camry,2010,Silver,Foreign Used,250791.0,2400.0,Imported,Imported,,,,,,,
rw3VHxa7AyLt1x7iYZ7nZlXh,5355000,Petrol,Automatic,Toyota,Venza,2009,Gold,Nigerian Used,77282.0,2700.0,Registered,Registered,SUV,,,,,,LAGOS
wruwSBd1b6joWhoyRtMr6I0r,5880000,Petrol,Automatic,Toyota,Camry,2012,Red,Foreign Used,276388.0,2500.0,Imported,Imported,Sedan,SE 4dr Sedan (2.5L 4cyl 6A),Front,5.0,4.0,178.0,
q9vcRU0uAw3VS3ADFpcQPVkx,4680000,Petrol,Automatic,Toyota,Matrix,2009,Gray,Foreign Used,267189.0,1800.0,Imported,Imported,SUV,,,,,,
wp8sfYyka7vKJSQHYuPB5gvM,4680000,Petrol,Automatic,Toyota,Camry,2010,Silver,Foreign Used,250791.0,2400.0,Imported,Imported,,,,,,,
A5XxsbVlrLSz043wfe5QVO1q,3990000,Petrol,Automatic,Toyota,Sienna,2006,Gray,Foreign Used,140689.0,3300.0,Imported,Imported,SUV,,,,,,
iddmNgwhS4P6QXCb5EOtkBoH,3465000,Petrol,Automatic,Toyota,Camry,2007,Gray,Foreign Used,151648.0,2400.0,Imported,Imported,Sedan,LE 4dr Sedan (2.4L 4cyl 5A),Front,5.0,4.0,158.0,
5izOFZRmpxjCmaR7AHPDSlQU,4680000,Petrol,Automatic,Lexus,ES,2009,Silver,Nigerian Used,151202.0,3500.0,Registered,Imported,Sedan,350,Front,5.0,6.0,,Lagos
hxOqe5Nq3zDaEzGaeABTVucK,6760000,Petrol,Automatic,Toyota,Camry,2013,Gold,Foreign Used,65176.0,2500.0,Imported,Imported,,,,,,,
